datasource,name,description,provider
dst,CSTI 2011-2015 (survey conducted by DST),CSTI 2011-2015 (survey conducted by DST),Department of Science and Technology
gdp,GDP 2008-2017,GDP 2008-2017,Statistics South Africa
lts2017,LTS 2015–2017,LTS 2015–2017,Statistics South Africa
icasa,ICASA 2015–2018,ICASA 2015–2018,ICASA
icasa_dtps,ICASA,ICASA,Independent Communications Authority of South Africa and Department Of Telecommunications & Postal Services
csti2015,HSRC and Mid-year Population Estimates,HSRC and Mid-year Population Estimates 2010–2015,Statistics South Africa
ana11_14,ANA - PIRLS - TIMMS (2011–2014),ANA - PIRLS - TIMMS (2011–2014),Department of Basic Edication
rtmc_2016,State of Road Safety Reports,State of Road Safety Reports(2010-2017),Road Traffic Management Corporation
mcd,Mortality and Causes of Death,Mortality and Causes of Death 1997-2017,Statistics South Africa
dsd,2016-2018,,Department of Social Development
dsd_16_18,2015-2018,Victim Empowerment Programme Service Centres,Department of Social Development
drdlr,Land Audit Report 2017,,
wits7,WITS 2007-2017,WITS 2007-2017,
wits10,WITS 2010-2017,WITS 2010-2017,
dti,Department of Trade Idustry and World Bank,Department of Trade Idustry and World Bank,Department of Trade Idustry and World Bank
sansa,LCRPGR 1996-2001 and 2001-2011,LCRPGR 1996-2001 and 2001-2011,SANSA
ocj,Office of Chief Justice 2012-2017,Office of Chief Justice 2012-2017,Office of Chief Justice
derco,UNGA;UNSC;UN-ECOSOC;IMF;IBRD;IFC;AfDB;ADB;IDB;WTO;FSB;NDB;UNHRC,UNGA;UNSC;UN-ECOSOC;IMF;IBRD;IFC;AfDB;ADB;IDB;WTO;FSB;NDB;UNHRC,
bis,Bank for International Settlements 2012-2017,Bank for International Settlements 2012-2017,Bank for International Settlements
un_irp,United Nations International Resource Panel 2007-2017,United Nations International Resource Panel 2007-2017,United Nations
un,United Nations Convention to Combat Desertification Performance Review and Assessment of Implementation System,Convention to Combat Desertification Performance Review and Assessment of Implementation System ,South Africa
wb,World Bank: Worldwide weighted tarrif,World Bank: Worldwide weighted tarrif,World Bank
hydstra,"HYDSTRA Database(Wetlands, Lakes and Estuaries)",HYDSTRA Database,South African National Biodiversity Institute and Council for Scientific and Industrial Research
dws_csir,Council for Scientific and Industrial Research (Estuaries),Council for Scientific and Industrial Research (Estuaries), Department of Water and Sanitation and Water Research Commission (Rivers) 
